;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
75;Программист 1С;Тюмень;100000.0;100000.0;Сибнефтемаш;2019-10-03T14:55:27+0300;3;6;Полный день;Полная занятость;Обязанности:  Разработка и сопровождение собственной конфигурации оперативного учета на платформе 8.3 и 1С Документооборот доработка и внедрение ERP  Требования:   Опыт программирования на платформе 8.3. Знание СКД, БСП, запросов, управляемых форм, web-сервисов.Понимание работы складских бизнес-процессов. Опыт работы на производственном или торгово-оптовом предприятии. Приветствуется опыт конвертации данных, знание ERP, SQL.   Условия:   Доставка на работу и обратно транспортом предприятияТрудоустройство по ТК РФСвоевременная выплата заработной платыСтоловаямедпунктспортзалМед. страхованиеВозможность санаторно-курортного лечения    ;   Доставка на работу и обратно транспортом предприятияТрудоустройство по ТК РФСвоевременная выплата заработной платыСтоловаямедпунктспортзалМед. страхованиеВозможность санаторно-курортного лечения    ;Опыт программирования на платформе 8.3. Знание СКД, БСП, запросов, управляемых форм, web-сервисов. Понимание работы складских бизнес-процессов. ;Разработка и сопровождение собственной конфигурации оперативного учета на платформе 8.3 и 1С Документооборот. Доработка и внедрение ERP.;платформа 8.3
76;Программист 1С;Тюмень;70000.0;90000.0;Автоград Центр;2019-10-08T10:18:36+0300;1;3;Полный день;Полная занятость;Требуются программисты разного уровня (junior, middle, Senjor), в т.ч. и веб-разработчики. В зависимости от уровня профессионализма обсуждаются пожелания кандидатов по з.п. Мы можем предоставить много интересных задач и возможность развиваться в профессиональном плане и достойную заработную плату.   Требуемый опыт работы: 1–3 года Полная занятость, полный день Должностные обязанности: • Разработка программного обеспечения на базе 1С с интеграцией к WEB,Python   Требования: • Образование: высшее, неоконченное высшее, среднее • Стаж работы: от трех лет, или не менее 1 года программирования 1:С. • Владение ПК: профессиональное • Личностные качества: аналитическое мышление, быстрая обучаемость, ответственность, целеустремленность, добросовестность, аккуратность и пунктуальность. Профессиональные качества: • 1C Предприятие 8.3 • Умение разбираться в чужом коде • Понимание, создание и изменение бизнес-процессов • WEB-сервисы 1C • Запросы 1С и SQL (обязательно) • Python, JS, Websockets и пр. (приветствуется) • Опыт работы с Linux (приветствуется) • Опыт работы с WebRTC (приветствуется)   Условия: • Отличный профессиональный коллектив , возможность профессионального развития и самореализации, карьерного роста. • Трудоустройство официальное, корпоративные мероприятия и спорт.; • Отличный профессиональный коллектив , возможность профессионального развития и самореализации, карьерного роста. • Трудоустройство официальное, корпоративные мероприятия и спорт.;Образование: высшее, неоконченное высшее, среднее. Стаж работы: от трех лет, или не менее 1 года программирования 1:С. ;Разработка программного обеспечения на базе 1С с интеграцией к WEB,Python.;"1С программирование; JavaScript; MySQL; Python"
34;Программист 1С;Ижевск;50000.0;85000.0;ИТ Консалтинг;2019-10-11T08:26:43+0300;0;0;Полный день;Полная занятость;"В данный момент мы расширяем штат программистов в Ижевске! Наша компания занимается автоматизацией розничной торговли и производственных предприятий. Обязанности:  Разрабатывать/дорабатывать объекты, модули и подсистемы на платформе 1С: Предприятие.8; Оптимизировать производительность разрабатываемых и внедряемых ИС;  Требования:  Имеющийся навык программирования в среде 1С; Знание типовых конфигураций 1С; Знание предметных областей учета: бухгалтерского, управленческого, производственного, налогового, торговой деятельности; Знание СКД, БСП и управляемых форм; Знание конфигурации 1С:Конвертация данных ; Наличие сертификатов 1С приветствуется, но не обязательно;  Условия:   График работы 5\2 с 9-18 часов (возможна работа по индивидуальному графику)   Рядом с офисом парковка, заправка.  ";   График работы 5\2 с 9-18 часов (возможна работа по индивидуальному графику)   Рядом с офисом парковка, заправка.  ;"Имеющийся навык программирования в среде 1С. Знание типовых конфигураций &quot;1С&quot;. Знание предметных областей учета: бухгалтерского, управленческого, производственного, налогового...";Разрабатывать/дорабатывать объекты, модули и подсистемы на платформе 1С: Предприятие.8. Оптимизировать производительность разрабатываемых и внедряемых ИС.;"1С программирование; 1С: Бухгалтерия; 1С: Предприятие 8; 1С: Управление Производственным Предприятием; 1С: Документооборот; Разработка ПО"
38;Программист 1С;Тюмень;75000.0;85000.0;Взлет-Тюмень;2019-10-10T14:06:04+0300;1;3;Полный день;Полная занятость;"Взлет-Тюмень представительство АО ВЗЛЕТ (г. Санкт-Петербург) в УРФО - ведущего российского предприятия в области разработки, производства и внедрения приборов учета расхода жидкостей, тепловой энергии и регулирования тепловодоресурсов. «Взлет-Тюмень» это проектно-строительное предприятие, специализирующееся на проектировании тепловых сетей, капитальном ремонте, реконструкции объектов теплоснабжения (ЦТП, ПНС, вспомогательные объекты), водоснабжения (СПД, Водозаборные узлы) и узлов учета. В г. Тюмень предприятие «Взлет-Тюмень» разрабатывает и производит изделия полной заводской готовности: автоматизированные тепловые пункты, насосные станции, шкафы электроуправления, готовые решения в блок-боксах. В связи с расширением штата мы рады пригласить к нам разработчика 1С с желанием работать и развиваться в нашей компании.   Обязанности:  Сопровождение, доработка, администрирование конфигураций на платформе 1С: Предприятие (КА, ДО, ERP) Разработка нового и изменение существующего функционала конфигураций. Интеграция 1С с 1С и с внешними системами. Консультирование пользователей при возникновении задач и рабочих вопросов.    Требования:  Знание языка запросов. Опыт разработки в клиент-серверном режиме, умение работать с обычными и управляемыми формами. Опыт работы с СКД. Опыт работы с типовыми конфигурациями 1:С. Знание механизмов интеграции 1С.  Условия:  работа в стабильно развивающейся компании в г. Тюмени; интересные задачи; молодой дружный коллектив; официальное трудоустройство в соответствии с ТК РФ; пятидневная рабочая неделя с 8:30 до 17:30; корпоративный транспорт; оплата занятий в бассейне; корпоративная мобильная связь, оборудованное рабочее место, уютный светлый офис, большая парковка.     ";"  работа в стабильно развивающейся компании в г. Тюмени; интересные задачи; молодой дружный коллектив; официальное трудоустройство в соответствии с ТК РФ; пятидневная рабочая неделя с 8:30 до 17:30; корпоративный транспорт; оплата занятий в бассейне; корпоративная мобильная связь, оборудованное рабочее место, уютный светлый офис, большая парковка.     ";Знание языка запросов. Опыт разработки в клиент-серверном режиме, умение работать с обычными и управляемыми формами. Опыт работы с СКД. ;Сопровождение, доработка, администрирование конфигураций на платформе 1С: Предприятие (КА, ДО, ERP). Разработка нового и изменение существующего функционала конфигураций. ;"1С: Предприятие 8; 1С: Бухгалтерия; 1С: Комплексная автоматизация; Работа в команде; Ориентация на результат"
6;Программист 1С;Тюмень;50000.0;80000.0;ГК ТюмБИТ;2019-10-08T08:07:02+0300;0;0;Удаленная работа;Полная занятость;"Задачи:  Участие в разработке и внедрении программного обеспечения в сфере здравоохранения (ООО 1С-Медицина-Регион); Программирование в среде 1С: Предприятие 8; Работа с техническими заданиями через консультантов 1С, т.е. без общения с клиентами; Выполнение сложных и интересных задач  Мы ищем сотрудника с:  Образованием: высшее/ неполное высшее Знанием основ программирования на платформе 1С Стремлением к профессиональному росту Высокой работоспособностью и стрессоустойчивостью Умением работать в коллективе  Мы предлагаем:  Интересные и разносторонние задачи. Стабильная‚ официальная‚ конкурентоспособная заработная плата. Пятидневная рабочая неделя, рабочий день: 9:00-18:00 Оформление по ТК РФ. Уютный офис в центре города. Молодой и дружный коллектив из профессионалов своего дела; Возможности обучения и сертификации для сотрудников компании Корпоративные мероприятия ";"  Интересные и разносторонние задачи. Стабильная‚ официальная‚ конкурентоспособная заработная плата. Пятидневная рабочая неделя, рабочий день: 9:00-18:00 Оформление по ТК РФ. Уютный офис в центре города. Молодой и дружный коллектив из профессионалов своего дела; Возможности обучения и сертификации для сотрудников компании Корпоративные мероприятия ";Образованием: высшее/ неполное высшее. Знанием основ программирования на платформе 1С. Стремлением к профессиональному росту. Высокой работоспособностью и стрессоустойчивостью. ;Участие в разработке и внедрении программного обеспечения в сфере здравоохранения (ООО 1С-Медицина-Регион). Программирование в среде 1С...;"1С программирование; 1С: Предприятие 8; 1С: Медицина"
90;Программист 1С;Тюмень;50000.0;70000.0;ТД Русойл;2019-10-01T12:00:24+0300;6;0;Полный день;Полная занятость;"Торговый дом “РУСОЙЛ” - крупнейшая динамично развивающаяся Компания на рынке отечественных и зарубежных автотоваров Западно-Сибирского и Уральского регионов, член Союза промышленников РФ. Основанная в 1998 году, на сегодняшний день Компания преобразована в Холдинг и представляет несколько направлений деятельности. Специализация деятельности – оптовые поставки товаров для автомобилей, розничная торговля (сеть магазинов АвтоСити в Тюмени и Тюменской области), производство спецжидкостей для автомобилей, продажа и сервисное обслуживание мототехники (центр МотоСити) Торговый дом “РУСОЙЛ” работает с ведущими производителями и поставщиками автотоваров в России и за рубежом.   Обязанности:  Внедрение, доработка, сопровождение информационных баз на платформе 1С:Предприятие 8 Обновление не типовых конфигураций, разработка отчетов и т.д Обновление платформы 1С    Требования:  Опыт работы с УПП, УТ, Бухгалтерия Знание СКД, Web сервисы, MS SQL Резервное копирование баз, написание скриптов    Условия:  Работа в крупной, стабильной, динамично развивающейся компании; Перспектива карьерного роста; Официальное трудоустройство согласно ТК РФ; Социальный пакет согласно ТК РФ; Достойная и своевременная заработная плата. ";"  Работа в крупной, стабильной, динамично развивающейся компании; Перспектива карьерного роста; Официальное трудоустройство согласно ТК РФ; Социальный пакет согласно ТК РФ; Достойная и своевременная заработная плата. ";Опыт работы с УПП, УТ, Бухгалтерия. Знание СКД, Web сервисы, MS SQL Резервное копирование баз, написание скриптов.;"Внедрение, доработка, сопровождение информационных баз на платформе &quot;1С:Предприятие 8&quot;. Обновление не типовых конфигураций, разработка отчетов и т.д. ";"1С программирование; MS SQL; 1С: Предприятие 8; 1С: Бухгалтерия"
54;Программист 1С;Ижевск;60000.0;70000.0;Таймас;2019-10-09T16:48:31+0300;1;3;Полный день;Полная занятость;"Обязанности: - Участие в разработке, внедрении и сопровождении решений на базе платформы 1с; - Интеграция внутренних и сторонних систем между собой; - Оптимизация работающих блоков; - Работа как по ТЗ, так и самостоятельное взаимодействие с заказчиками; - Документирование выполненных работ. Требования: - Опыт разработки с 1С 8.х от 2 лет; - Хорошее знание языка 1С, хороший прикладной опыт использования различных механизмов платформы; - Приветствуются знания и опыт работы в одной из платформ УПП/ERP, УТ, БП, CRM, а так же опыт работы с управляемыми формами; - Аналитический склад ума, внимание к деталям, умение работать как самостоятельно, так и в команде, и придерживаться стандартов и качества кода. Условия: - Полный рабочий день с 8:00 до 17:00, 5/2; - Оформление в соответствии с ТК РФ; - Уровень заработной платы будет обсуждаться на собеседовании с руководителем и зависит от профессионального уровня (60 000 - 70 000).";" - Полный рабочий день с 8:00 до 17:00, 5/2; - Оформление в соответствии с ТК РФ; - Уровень заработной платы будет обсуждаться на собеседовании с руководителем и зависит от профессионального уровня (60 000 - 70 000).";Опыт разработки с 1С 8.х от 2 лет. - Хорошее знание языка 1С, хороший прикладной опыт использования различных...;Участие в разработке, внедрении и сопровождении решений на базе платформы 1с. - Интеграция внутренних и сторонних систем между собой. - ;
12;Программист 1С;Ижевск;40000.0;60000.0;Восточный;2019-10-10T06:35:37+0300;3;6;Полный день;Полная занятость;Обязанности:  Поддержка пользователей по работе с 1С Доработка печатных форм, отчетов  Требования:  Высшее образование Знание предметных областей бух. учета, торгово-производственной деятельности  Условия:  Рабочий график 5/2, с 8-00 до 17-00 Официальное трудоустройство Полный соц. пакет Окончательный уровень з/п формируется по результатам собеседования Доставка до места работы служебным транспортом ;  Рабочий график 5/2, с 8-00 до 17-00 Официальное трудоустройство Полный соц. пакет Окончательный уровень з/п формируется по результатам собеседования Доставка до места работы служебным транспортом ;Высшее образование. Знание предметных областей бух. учета, торгово-производственной деятельности.;Поддержка пользователей по работе с 1С. Доработка печатных форм, отчетов.;"Инициативность; Ответственность; самостоятельность; высокая обучаемость"
21;Программист 1С;Ижевск;40000.0;60000.0;Торговая компания Русь-Матушка;2019-09-28T15:09:02+0300;1;3;Полный день;Полная занятость;Обязанности: Программирование по ТЗ. Поддержка существующих конфигурация 1С Требования: Программирование в 1С от двух лет Желательно знание бухгалтерского и производственного учета Условия:  официальное трудоустройство, график работы 5/2, с 8.00 до 17.00 з/пл зависит от квалификации ;  официальное трудоустройство, график работы 5/2, с 8.00 до 17.00 з/пл зависит от квалификации ;Программирование в 1С от двух лет. Желательно знание бухгалтерского и производственного учета.;Программирование по ТЗ. Поддержка существующих конфигурация 1С.;
45;Программист 1С;Ижевск;35000.0;;Альфа-Декор;2019-10-10T08:52:36+0300;1;3;Полный день;Полная занятость;"Обязанности: • Автоматизация бизнес-процессов компании в конфигурациях Управление производственным предприятием, редакция 1.3, Документооборот 8 ПРОФ, редакция 1.4; • Администрирование и поддержка 1С; • Написание дополнительных отчетов и обработок; • Устранение ошибок по запросу пользователей; • Консультирование и обучение пользователей.   Требования: • Успешный опыт работы программистом с типовыми конфигурациями 1С более 2 лет • Хорошее знание предметных областей: бухгалтерского учета, управленческого, производственного, торговой деятельности) • Опыт работы с конвертацией данных • Хорошее знание программных продуктов 1С 8. х: УТ, КА, УПП • Наличие сертификатов 1с (желательно) • Хорошее знание типовых механизмов платформы 8.2/8.3 • Опыт работы с людьми. Условия: • Обучение; • Официальное оформление; • Заработная плата 2 раза в месяц оклад + KPI (обсуждается на собеседовании); • Дополнительный соцпакет; • График работы 5/2. Полный рабочий день На территории работодателя  ";" • Обучение; • Официальное оформление; • Заработная плата 2 раза в месяц оклад + KPI (обсуждается на собеседовании); • Дополнительный соцпакет; • График работы 5/2. Полный рабочий день На территории работодателя  ";Успешный опыт работы <highlighttext>программистом</highlighttext> с типовыми конфигурациями 1С более 2 лет. Хорошее знание предметных областей: бухгалтерского учета, управленческого, производственного...;Автоматизация бизнес-процессов компании в конфигурациях Управление производственным предприятием, редакция 1.3, Документооборот 8 ПРОФ, редакция 1.4. ;"1С: Управление Производственным Предприятием; 1С программирование; 1С: Управление Торговлей; 1С: Документооборот"
22;Программист 1С;Ижевск;45000.0;;Ижевский завод мебельной фурнитуры ФМС;2019-09-25T13:28:49+0300;1;3;Полный день;Полная занятость;"Обязанности: Сфера деятельности предприятия : производство , продажи.Конфигурации используемые на предприятии: 1С 8: УПП 1.3, КАМИН 5 Требования: * высшее образование (профильное, законченное); (студенты не рассматриваются)* опыт программирования в 1С 8 от 2-х лет;* опыт работы с УПП желателен (если нет – нестрашно, мы опытом поделимся).* знание основ бухгалтерского, оперативного учета Условия: * Социальный пакет.* Официальное оформление.* График работы 8-17 пн-пт.* Зарплата полностью белая, выдается два раза в месяц.* В отделе 2 админа, 2 программиста 1С и начальник. Коллектив молодой, дружный.* Находимся чуть дальше завода пластмасс"; * Социальный пакет.* Официальное оформление.* График работы 8-17 пн-пт.* Зарплата полностью белая, выдается два раза в месяц.* В отделе 2 админа, 2 программиста 1С и начальник. Коллектив молодой, дружный.* Находимся чуть дальше завода пластмасс;"высшее образование (профильное, законченное); (студенты не рассматриваются). * опыт программирования в 1С 8 от 2-х лет. * опыт работы с...";Сфера деятельности предприятия : производство , продажи. Конфигурации используемые на предприятии: 1С 8: УПП 1.3, КАМИН 5.;"1С: Документооборот; 1С: Предприятие 8"
